                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                 0.6233,                0.38344,                 1.0395,                0.99353,                0.99028,                0.99494,                0.80118,                0.81111,                0.40497,                 1.2242,              0.0007625,              0.0007625,              0.0007625
                    128,                0.63751,                 0.3849,                 1.0523,                0.97377,                0.99355,                0.99442,                0.81704,                0.74231,                0.40184,                 1.1797,              0.0007526,              0.0007526,              0.0007526
                    129,                0.65229,                0.39213,                 1.0474,                0.99963,                0.99355,                  0.995,                0.80898,                0.78414,                0.40439,                 1.2111,              0.0007427,              0.0007427,              0.0007427
                    130,                0.64346,                0.40126,                 1.0554,                      1,                0.99282,                  0.995,                0.78882,                0.83092,                0.40117,                 1.2455,              0.0007328,              0.0007328,              0.0007328
                    131,                0.58953,                0.36892,                 1.0108,                 0.9808,                0.98065,                0.99413,                0.79222,                0.79544,                  0.404,                 1.2334,              0.0007229,              0.0007229,              0.0007229
                    132,                0.61135,                0.38774,                 1.0338,                 0.9889,                 0.9871,                0.99487,                0.80571,                0.78218,                0.40531,                 1.1979,               0.000713,               0.000713,               0.000713
                    133,                0.62603,                0.38637,                  1.029,                0.99355,                0.99314,                0.99494,                0.80543,                0.77851,                0.41002,                 1.2165,              0.0007031,              0.0007031,              0.0007031
                    134,                0.60734,                0.37049,                 1.0328,                0.99805,                0.98065,                0.99475,                0.81257,                0.80721,                0.40142,                 1.2352,              0.0006932,              0.0006932,              0.0006932
                    135,                0.63533,                0.39201,                 1.0551,                0.98288,                0.98065,                0.99402,                0.78817,                0.82903,                0.40702,                 1.2847,              0.0006833,              0.0006833,              0.0006833
                    136,                0.60897,                0.36718,                 1.0205,                0.98599,                0.99355,                0.99435,                0.80807,                0.79856,                0.39614,                 1.2291,              0.0006734,              0.0006734,              0.0006734
